date,equity,cash,cash_pct,gross_exposure_pct,candidate_count
2025-07-08,0.8500287869417501,532271.7869417501,62.6181,26.07,10
2025-07-09,0.85144154463175,336871.5446317501,39.5648,45.6,10
2025-07-10,0.8409859737167502,337631.97371675016,40.1472,45.08,10
2025-07-11,0.8337805352467501,329226.5352467501,39.486,45.73,10
2025-07-14,0.8363995526517501,333908.5526517501,39.9221,45.09,10
2025-07-15,0.93041955265175,333908.5526517501,35.888,45.09,10
2025-07-16,0.9529111194717501,3787.119471750102,0.3974,78.08,10
2025-07-17,0.9981747926317501,186.79263175008282,0.0187,77.75,10
2025-07-18,0.99678822658675,5352.226586750056,0.5369,77.06,10
2025-07-21,0.9909846434567501,6357.643456750075,0.6415,76.55,10
2025-07-22,0.97596241778675,1592.4177867500816,0.1632,76.36,10
2025-07-23,0.97546584228175,4103.842281750061,0.4207,75.67,10
2025-07-24,0.96812284228175,4103.842281750061,0.4239,75.67,10
2025-07-25,0.97168484228175,4103.842281750061,0.4223,75.67,10
2025-07-28,0.9950838422817501,4103.842281750061,0.4124,75.67,10
2025-07-29,1.06672084228175,4103.842281750061,0.3847,75.67,10
2025-07-30,1.05761284228175,4103.842281750061,0.388,75.67,10
2025-07-31,1.06645684228175,4103.842281750061,0.3848,75.67,10
2025-08-01,1.0394208422817501,4103.842281750061,0.3948,75.67,10
2025-08-04,1.04329484228175,4103.842281750061,0.3934,75.67,10
2025-08-05,1.03977384228175,4103.842281750061,0.3947,75.67,10
2025-08-06,1.05787984228175,4103.842281750061,0.3879,75.67,10
2025-08-07,1.0467138422817501,4103.842281750061,0.3921,75.67,10
2025-08-08,1.04594284228175,4103.842281750061,0.3924,75.67,10
2025-08-11,1.0852518422817499,4103.842281750061,0.3781,75.67,10
2025-08-12,1.14624684228175,4103.842281750061,0.358,75.67,10
2025-08-13,1.2814078422817499,4103.842281750061,0.3203,75.67,10
2025-08-14,1.24195284228175,4103.842281750061,0.3304,75.67,10
2025-08-15,1.25687584228175,4103.842281750061,0.3265,75.67,10
2025-08-18,1.3257968422817499,4103.842281750061,0.3095,75.67,10
